segment,customers,average_historical_clv,average_orders
Hibernating,36347,161.8133,1.0
New,36140,164.3102,1.0
Promising,18070,151.4104,1.0
At Risk,996,293.8703,2.0813
Champions,985,372.4613,2.1817
Loyal,820,249.5345,2.072
