field,global_flagged,global_flagged_pct,persisted_flagged,handling
price,8427,7.4807,9376,retained and flagged
freight_value,12134,10.7714,9767,retained and flagged
payment_value,7981,7.6825,7981,retained and flagged
delivery_days,5025,5.2085,5025,retained and flagged
